team,total_miles
SF,16195.715805001248
SEA,14092.503293617303
LAC,12514.380771450175
ARI,11879.75246446034
MIA,11237.742883003588
NYG,11141.292578962255
LV,11015.150975340139
DAL,10704.895162732057
TB,9981.994694929665
DET,9120.544406169249
KC,9078.059496326641
BAL,8988.274846026794
HOU,8796.342122994567
GB,8736.965067192741
NE,8101.336148767845
DEN,8047.549452855996
NYJ,7173.47479995964
PHI,7109.045969256602
MIN,6591.33684569334
WAS,6455.207162077117
CLE,6390.216646408801
PIT,6272.47774841193
CAR,6097.037179012441
NO,5986.745725379236
CIN,5932.946975858611
BUF,5881.715335259911
CHI,5674.343270685545
ATL,5089.909549796383
JAX,5047.816100460586
TEN,4251.268133142838
IND,4074.071172463023
