team,city,state,lat,lon
ARI,Phoenix,AZ,33.4484,-112.0740
ATL,Atlanta,GA,33.7490,-84.3880
BAL,Baltimore,MD,39.2904,-76.6122
BUF,Buffalo,NY,42.8864,-78.8784
CAR,Charlotte,NC,35.2271,-80.8431
CHI,Chicago,IL,41.8781,-87.6298
CIN,Cincinnati,OH,39.1031,-84.5120
CLE,Cleveland,OH,41.4993,-81.6944
DAL,Dallas,TX,32.7767,-96.7970
DEN,Denver,CO,39.7392,-104.9903
DET,Detroit,MI,42.3314,-83.0458
GB,Green Bay,WI,44.5133,-88.0133
HOU,Houston,TX,29.7604,-95.3698
IND,Indianapolis,IN,39.7684,-86.1581
JAX,Jacksonville,FL,30.3322,-81.6557
KC,Kansas City,MO,39.0997,-94.5786
LV,Las Vegas,NV,36.1699,-115.1398
LAC,Los Angeles,CA,34.0522,-118.2437
LAR,Los Angeles,CA,34.0522,-118.2437
MIA,Miami,FL,25.7617,-80.1918
MIN,Minneapolis,MN,44.9778,-93.2650
NE,Foxborough,MA,42.0909,-71.2643
NO,New Orleans,LA,29.9511,-90.0715
NYG,East Rutherford,NJ,40.8330,-74.0971
NYJ,East Rutherford,NJ,40.8330,-74.0971
PHI,Philadelphia,PA,39.9526,-75.1652
PIT,Pittsburgh,PA,40.4406,-79.9959
SEA,Seattle,WA,47.6062,-122.3321
SF,San Francisco,CA,37.7749,-122.4194
TB,Tampa,FL,27.9506,-82.4572
TEN,Nashville,TN,36.1627,-86.7816
WAS,Washington,DC,38.9072,-77.0369
